252,2020-02-27 01:15:26,O365
253,2020-02-27 01:15:26,OSIsoft
254,2020-02-27 01:15:26,W Server 2012R2
255,2020-02-27 01:15:35,Работа с возражениями
256,2020-02-27 01:15:35,1С: Розница
257,2020-02-27 01:15:35,Обслуживание покупателей
258,2020-02-27 01:15:35,Ориентация на клиента
259,2020-02-27 01:15:35,Мобильность
260,2020-02-27 01:15:35,Техники продаж
261,2020-02-27 01:15:35,Знание техники продаж
262,2020-02-27 01:15:35,Планирование карьеры
263,2020-02-27 01:15:58,Договорная работа
264,2020-02-27 01:15:58,Согласование договоров
265,2020-02-27 01:16:31,Точность и внимательность к деталям
266,2020-02-27 01:16:31,Работа с претензиями
267,2020-02-27 01:16:31,Закупка товаров и услуг
268,2020-02-27 01:17:09,SAP ERP
269,2020-02-27 01:17:09,SAP SD
270,2020-02-27 01:17:09,SAP EM
271,2020-02-27 01:17:14,Групповое обучение
272,2020-02-27 01:17:14,Проведение семинаров
273,2020-02-27 01:17:14,Организация семинаров
274,2020-02-27 01:17:14,Тренинги
275,2020-02-27 01:17:14,Обучение
276,2020-02-27 01:17:14,Дистанционное обучение
277,2020-02-27 01:17:14,Организация обучения для отдела продаж
278,2020-02-27 01:17:45,Английский — B1 — Средний
279,2020-02-27 01:17:45,ARIS
280,2020-02-27 01:17:46,Моделирование бизнес процессов
281,2020-02-27 01:17:47,Тайм-менеджмент
282,2020-02-27 01:17:47,Управление временем
283,2020-02-27 01:17:47,Навыки презентации
284,2020-02-27 01:17:47,Жилая недвижимость
285,2020-02-27 01:17:47,Агентские продажи
286,2020-02-27 01:17:47,Сопровождение сделок
287,2020-02-27 01:17:47,Аналитические способности
288,2020-02-27 01:17:47,Ведение клиентской базы
289,2020-02-27 01:17:53,Консультирование клиентов по телефону
290,2020-02-27 01:18:08,Расчет заработной платы
291,2020-02-27 01:18:08,1С: Управление персоналом
292,2020-02-27 01:18:08,Трудовой кодекс РФ
293,2020-02-27 01:18:08,1C: Зарплата и кадры
294,2020-02-27 01:18:09,уборка
295,2020-02-27 01:18:12,Финансовый контроль
296,2020-02-27 01:18:12,Финансовая отчетность
297,2020-02-27 01:18:18,Спортивные мероприятия
298,2020-02-27 01:18:18,Планирование
299,2020-02-27 01:18:26,Управление складскими запасами
300,2020-02-27 01:18:26,Автоматизация документооборота
301,2020-02-27 01:18:45,Визуальный мерчандайзинг
302,2020-02-27 01:18:52,Навыки составления отчетности
303,2020-02-27 01:18:52,Медицинская документация
304,2020-02-27 01:18:58,Страхование жизни
305,2020-02-27 01:20:52,Грейдинг
306,2020-02-27 01:20:52,Кадровая политика
307,2020-02-27 01:20:52,Кадровая стратегия
308,2020-02-27 01:20:56,Железнодорожные перевозки
309,2020-02-27 01:21:08,Контроль качества
310,2020-02-27 01:21:08,Контроль сроков годности
311,2020-02-27 01:21:08,IDEF0
312,2020-02-27 01:21:08,Реинжиниринг бизнес-процессов
313,2020-02-27 01:21:56,Spring Framework
314,2020-02-27 01:21:56,JDBC
